Ensembl_gene	Cancer_type	Gene_name	Driver in the same cancer	Driver in other cancer	Prognostic in the same cancer	Prognostic in other cancer	count
ENSG00000145675	TCGA-BRCA	PIK3R1	1	1	0	1	236
ENSG00000165125	TCGA-BRCA	ERMARD	0	0	0	0	207
ENSG00000127616	TCGA-LGG	SMARCA4	1	1	0	1	189
ENSG00000162063	TCGA-LUAD	SNTB2	0	0	0	0	161
ENSG00000171862	TCGA-LGG	PTEN	1	1	1	1	150
ENSG00000116128	TCGA-STAD	BCL9	1	1	0	0	133
ENSG00000121879	TCGA-KIRC	PIK3CA	1	1	0	1	129
ENSG00000170385	TCGA-STAD	MAT2A	0	0	0	0	114
ENSG00000169914	TCGA-UCEC	YIPF7	0	0	0	0	112
ENSG00000121067	TCGA-UCEC	SPOP	1	1	0	0	112
ENSG00000169255	TCGA-KIRC	ZBTB17	0	0	0	0	108
ENSG00000197465	TCGA-UCEC	POM121	0	0	0	0	106
ENSG00000152217	TCGA-KIRC	SETBP1	1	1	0	0	105
ENSG00000149311	TCGA-STAD	ATM	1	1	1	1	98
ENSG00000161654	TCGA-BLCA	ASB18	0	0	0	0	94
ENSG00000197465	TCGA-HNSC	CHD5	0	0	0	0	92
ENSG00000181555	TCGA-KIRC	SETD2	1	1	0	0	90
ENSG00000149311	TCGA-KIRC	ATM	1	1	0	1	87
ENSG00000101951	TCGA-STAD	FAM21A	0	0	0	0	87
ENSG00000055609	TCGA-KIRC	KMT2C	1	1	0	0	86
ENSG00000196712	TCGA-KIRC	NF1	1	1	0	1	86
ENSG00000105976	TCGA-KIRC	MET	1	1	0	1	86
ENSG00000134086	TCGA-KIRC	VHL	1	1	1	1	85
ENSG00000147889	TCGA-KIRC	CDKN2A	1	1	0	1	85
ENSG00000197548	TCGA-KIRC	ATG7	1	0	0	0	84
ENSG00000125952	TCGA-KIRC	MAX	1	1	0	0	84
ENSG00000169402	TCGA-LGG	RSPH10B2	1	0	0	0	84
ENSG00000163939	TCGA-KIRC	PBRM1	1	1	0	0	82
ENSG00000112964	TCGA-KIRC	GALNT16	0	0	0	0	82
ENSG00000168702	TCGA-KIRC	LRP1B	1	1	0	0	81
ENSG00000138698	TCGA-KIRC	RAP1GDS1	1	1	0	0	81
ENSG00000171862	TCGA-KIRC	PTEN	1	1	0	1	81
ENSG00000163930	TCGA-KIRC	BAP1	1	1	1	1	78
ENSG00000126012	TCGA-KIRC	KDM5C	1	1	0	0	78
ENSG00000115524	TCGA-KIRC	SF3B1	1	1	0	1	78
ENSG00000198793	TCGA-KIRC	MTOR	1	1	0	0	76
ENSG00000171456	TCGA-KIRC	ASXL1	1	1	0	0	76
ENSG00000141510	TCGA-KIRC	TP53	1	1	0	1	76
ENSG00000181690	TCGA-BRCA	PLAG1	1	0	0	0	74
ENSG00000186575	TCGA-KIRC	NF2	1	1	0	0	74
ENSG00000165125	TCGA-PRAD	NRIP1	0	0	0	0	74
ENSG00000183760	TCGA-SKCM	CAPN12	0	0	0	0	74
ENSG00000153201	TCGA-KIRC	RANBP2	1	1	0	0	73
ENSG00000145649	TCGA-LUSC	ZNF398	0	0	0	0	73
ENSG00000171862	TCGA-BRCA	PTEN	1	1	0	1	72
ENSG00000165323	TCGA-BRCA	FAT3	1	1	0	0	72
ENSG00000065526	TCGA-KIRC	SPEN	1	1	0	0	72
ENSG00000101972	TCGA-KIRC	STAG2	1	1	0	1	72
ENSG00000067955	TCGA-BRCA	CBFB	1	0	0	0	72
ENSG00000117713	TCGA-BRCA	ARID1A	1	1	0	0	71
ENSG00000198625	TCGA-BRCA	MDM4	1	0	0	1	71
ENSG00000139263	TCGA-LUAD	LRIG3	1	1	0	0	71
ENSG00000162063	TCGA-GBM	MYBPH	0	0	0	0	71
ENSG00000084676	TCGA-BRCA	NCOA1	1	0	0	0	70
ENSG00000083857	TCGA-BRCA	FAT1	1	1	0	0	70
ENSG00000121879	TCGA-BRCA	PIK3CA	1	1	1	1	69
ENSG00000044524	TCGA-BRCA	EPHA3	1	1	0	0	69
ENSG00000197535	TCGA-BRCA	MYO5A	1	1	0	0	69
ENSG00000140836	TCGA-BRCA	ZFHX3	1	1	0	0	69
ENSG00000163930	TCGA-BRCA	BAP1	1	1	0	1	69
ENSG00000066468	TCGA-BRCA	FGFR2	1	1	0	1	69
ENSG00000102145	TCGA-BRCA	GATA1	1	0	0	0	69
ENSG00000117713	TCGA-KIRC	ARID1A	1	1	0	0	68
ENSG00000144218	TCGA-BRCA	AFF3	1	0	0	0	68
ENSG00000116016	TCGA-BRCA	EPAS1	1	1	0	0	68
ENSG00000171456	TCGA-BRCA	ASXL1	1	1	0	0	68
ENSG00000168702	TCGA-BRCA	LRP1B	1	1	0	0	68
ENSG00000141367	TCGA-BRCA	CLTC	1	1	0	0	68
ENSG00000079999	TCGA-KIRC	KEAP1	1	1	0	0	68
ENSG00000146648	TCGA-BRCA	EGFR	1	1	0	1	68
ENSG00000129204	TCGA-BRCA	USP6	1	1	0	0	67
ENSG00000159216	TCGA-BRCA	RUNX1	1	1	0	0	67
ENSG00000165125	TCGA-COAD	USP17L30	0	0	0	0	67
ENSG00000197465	TCGA-KIRC	MAPRE1	0	0	0	0	67
ENSG00000065559	TCGA-BRCA	MAP2K4	1	1	0	0	66
ENSG00000046889	TCGA-BRCA	PREX2	1	1	0	0	66
ENSG00000139687	TCGA-BRCA	RB1	1	1	0	1	66
ENSG00000125952	TCGA-BRCA	MAX	1	1	0	0	66
ENSG00000134250	TCGA-BRCA	NOTCH2	1	1	0	1	65
ENSG00000156650	TCGA-BRCA	KAT6B	1	1	0	0	65
ENSG00000039068	TCGA-BRCA	CDH1	1	1	0	0	65
ENSG00000123364	TCGA-BRCA	HOXC13	1	0	0	0	65
ENSG00000012048	TCGA-BRCA	BRCA1	1	1	0	1	65
ENSG00000139618	TCGA-BRCA	BRCA2	1	1	0	1	64
ENSG00000100503	TCGA-BRCA	NIN	1	1	0	0	64
ENSG00000141510	TCGA-BRCA	TP53	1	1	0	1	64
ENSG00000102974	TCGA-BRCA	CTCF	1	1	0	0	63
ENSG00000244405	TCGA-BRCA	ETV5	1	1	0	0	63
ENSG00000141027	TCGA-BRCA	NCOR1	1	1	0	0	63
ENSG00000124693	TCGA-BRCA	HIST1H3B	1	1	0	0	63
ENSG00000198455	TCGA-BRCA	ZXDB	1	0	0	0	63
ENSG00000171094	TCGA-BRCA	ALK	1	1	0	1	63
ENSG00000163629	TCGA-BRCA	PTPN13	1	0	0	0	63
ENSG00000146648	TCGA-LUAD	EGFR	1	1	0	1	62
ENSG00000117713	TCGA-LUAD	ARID1A	1	1	0	0	62
ENSG00000136826	TCGA-BRCA	KLF4	1	1	0	0	62
ENSG00000129514	TCGA-BRCA	FOXA1	1	1	0	0	61
ENSG00000133895	TCGA-BRCA	MEN1	1	1	0	0	61
ENSG00000095015	TCGA-BRCA	MAP3K1	1	1	0	0	61
ENSG00000096968	TCGA-BRCA	JAK2	1	1	0	0	61
ENSG00000178568	TCGA-BRCA	ERBB4	1	1	0	1	61
ENSG00000005339	TCGA-BRCA	CREBBP	1	1	0	0	61
ENSG00000065526	TCGA-BRCA	SPEN	1	1	0	0	61
ENSG00000183454	TCGA-BRCA	GRIN2A	1	1	0	0	61
ENSG00000141646	TCGA-BRCA	SMAD4	1	1	0	0	61
ENSG00000153707	TCGA-BRCA	PTPRD	1	1	0	0	61
ENSG00000147050	TCGA-BRCA	KDM6A	1	1	0	0	61
ENSG00000171862	TCGA-ESCA	PTEN	1	1	1	1	61
ENSG00000169032	TCGA-LUAD	MAP2K1	1	1	0	1	60
ENSG00000118046	TCGA-LUAD	STK11	1	1	1	0	60
ENSG00000066117	TCGA-BRCA	SMARCD1	1	0	0	0	60
ENSG00000131941	TCGA-BRCA	RHPN2	1	1	0	0	60
ENSG00000143322	TCGA-BRCA	ABL2	1	1	0	0	59
ENSG00000163939	TCGA-LUAD	PBRM1	1	1	0	0	59
ENSG00000198400	TCGA-BRCA	NTRK1	1	0	0	0	59
ENSG00000133392	TCGA-BRCA	MYH11	1	1	0	0	59
ENSG00000137497	TCGA-BRCA	NUMA1	1	0	0	0	58
ENSG00000196914	TCGA-BRCA	ARHGEF12	1	1	0	0	58
ENSG00000055609	TCGA-BRCA	KMT2C	1	1	0	0	58
ENSG00000181555	TCGA-LUAD	SETD2	1	1	0	0	58
ENSG00000141510	TCGA-LUAD	TP53	1	1	0	1	58
ENSG00000142208	TCGA-BRCA	AKT1	1	1	0	1	58
ENSG00000196712	TCGA-LUAD	NF1	1	1	0	1	58
ENSG00000049540	TCGA-BRCA	ELN	1	0	0	0	57
ENSG00000149311	TCGA-BRCA	ATM	1	1	0	1	57
ENSG00000109670	TCGA-BRCA	FBXW7	1	1	0	1	57
ENSG00000133703	TCGA-BRCA	KRAS	1	1	0	1	57
ENSG00000180611	TCGA-LUAD	MB21D2	1	1	0	0	57
ENSG00000157764	TCGA-BRCA	BRAF	1	1	0	1	57
